Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,state
1.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,600.0,1250.0,900.0,07 Apr 2022,Maharashtra
2.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,600.0,1300.0,900.0,26 Mar 2022,Maharashtra
3.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,550.0,1100.0,850.0,24 Mar 2022,Maharashtra
4.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,1300.0,900.0,21 Mar 2022,Maharashtra
5.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,650.0,1200.0,900.0,21 Mar 2022,Maharashtra
6.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,1300.0,900.0,19 Mar 2022,Maharashtra
7.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,650.0,1200.0,1000.0,19 Mar 2022,Maharashtra
8.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,680.0,1300.0,900.0,17 Mar 2022,Maharashtra
9.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,650.0,1200.0,925.0,17 Mar 2022,Maharashtra
10.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,630.0,1600.0,1000.0,14 Mar 2022,Maharashtra
11.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,600.0,1300.0,975.0,14 Mar 2022,Maharashtra
12.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,850.0,1700.0,1200.0,12 Mar 2022,Maharashtra
13.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,650.0,1500.0,1100.0,12 Mar 2022,Maharashtra
14.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,800.0,1800.0,1400.0,10 Mar 2022,Maharashtra
15.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,800.0,1800.0,1400.0,10 Mar 2022,Maharashtra
16.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,400.0,1800.0,1400.0,07 Mar 2022,Maharashtra
17.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,500.0,2000.0,1900.0,05 Mar 2022,Maharashtra
18.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,500.0,2100.0,1500.0,03 Mar 2022,Maharashtra
19.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,500.0,2200.0,1600.0,28 Feb 2022,Maharashtra
20.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,800.0,2700.0,2100.0,26 Feb 2022,Maharashtra
21.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,800.0,3100.0,2200.0,24 Feb 2022,Maharashtra
22.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,700.0,3300.0,2500.0,21 Feb 2022,Maharashtra
23.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,700.0,3300.0,2400.0,19 Feb 2022,Maharashtra
24.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,700.0,3200.0,2300.0,17 Feb 2022,Maharashtra
25.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,800.0,3200.0,2300.0,14 Feb 2022,Maharashtra
26.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,3500.0,2500.0,12 Feb 2022,Maharashtra
27.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,1300.0,3200.0,2200.0,10 Feb 2022,Maharashtra
28.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,3000.0,2200.0,07 Feb 2022,Maharashtra
29.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,2800.0,2000.0,05 Feb 2022,Maharashtra
30.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,2600.0,1900.0,03 Feb 2022,Maharashtra
31.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,2800.0,2100.0,27 Jan 2022,Maharashtra
32.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,3000.0,2200.0,24 Jan 2022,Maharashtra
33.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,3050.0,2200.0,22 Jan 2022,Maharashtra
34.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,3000.0,2100.0,17 Jan 2022,Maharashtra
35.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,3000.0,2100.0,15 Jan 2022,Maharashtra
36.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,3000.0,2400.0,10 Jan 2022,Maharashtra
37.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,3200.0,2500.0,08 Jan 2022,Maharashtra
38.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,800.0,3300.0,2500.0,06 Jan 2022,Maharashtra
39.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,3200.0,2200.0,03 Jan 2022,Maharashtra
40.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,500.0,3000.0,2100.0,01 Jan 2022,Maharashtra
41.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,3100.0,2200.0,30 Dec 2021,Maharashtra
42.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,800.0,3300.0,2400.0,27 Dec 2021,Maharashtra
43.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,3100.0,2200.0,25 Dec 2021,Maharashtra
44.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1000.0,3200.0,2500.0,25 Dec 2021,Maharashtra
45.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,600.0,3000.0,2000.0,23 Dec 2021,Maharashtra
46.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,1000.0,3200.0,2500.0,23 Dec 2021,Maharashtra
47.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,3000.0,2100.0,20 Dec 2021,Maharashtra
48.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,600.0,3300.0,2300.0,20 Dec 2021,Maharashtra
49.0,Ahmednagar,Ahmednagar,Onion,Red,FAQ,700.0,2900.0,2200.0,18 Dec 2021,Maharashtra
50.0,Ahmednagar,Ahmednagar,Onion,Other,FAQ,650.0,3000.0,2350.0,18 Dec 2021,Maharashtra
